Scientific.name,Abbreviation,Common.name,Taxon.ID
Agrobacterium Tumefaciens K84,Atu.K84,NA,311403
Caenorhabditis briggsae,Cbr,Worm,6238
Escherichia coli 55989,Eco.55989,NA,585055
Escherichia coli O26:H7 str. CB9615,Eco.O26.H7.CB9615,NA,701177
Escherichia coli IAI1,Eco.IAI1,NA,585034
Escherichia coli KO11FL,Eco.KO11FL,NA,595495
Escherichia coli SE11,Eco.SE11,NA,409438
Escherichia coli UMN026,Eco.UMN026,NA,585056
Staphylococcus aureus subsp. aureus M013,Sau.M013,NA,1118959
Staphylococcus argenteus,Sar,NA,985002
Staphylococcus aureus subsp. aureus VC40,Sau.VC40,NA,1028799